ID	year	ScientificName
fd03a946-35d1-43b9-becc-5ee045730397	2014	attalea eichleri
c8695ebb-9acb-4a65-9270-2150239d627e	2014	attalea eichleri
633f77fe-ec4a-4be4-b661-5c9c0623c313	2014	attalea eichleri
9633b508-9011-40d2-b024-07ffe38a213d	2015	attalea eichleri
14b6dc57-21e7-471d-8a78-939281b18644	2015	attalea eichleri
0a0c75ec-bdc3-492a-b940-6364234fa851	2017	attalea eichleri
035a757c-e2ba-4574-a5b1-fe5e6261ef2a	2018	attalea eichleri
42decf9f-dd03-49e3-bb85-b6133997c98e		attalea eichleri
f7a6a825-5d8b-459f-8671-d9fa22405b19	1989	attalea guianensis
49bfc564-09f2-422e-8bdd-2213ecc21d80	1986	ayapana triplinervis
be61ff23-9be0-45fa-965e-074f0751ed1f	1851	azolla filiculoides
457485c7-71cf-488a-8510-0bf068cc65ba	1956	azolla filiculoides
ff9a0826-fa92-459a-98f0-471057d49a5c	1874	bactris
0383522e-287c-4ba1-99fe-dfa4db9821e6	1981	bactris
a9709320-a63a-44af-9768-08ce48e9190b	2005	bactris brongniartii
f1f464a6-0c3b-4c97-846b-bcb2c825ae59	2005	bactris brongniartii
6b8fea36-ac4b-4d29-bea2-04c282024c84	2005	bactris brongniartii
45b38dee-6de0-4aba-bed8-4e57a1c2e483	1976	bactris chaveziae
6c9f3f21-2056-40ac-96b9-a578beab115d	1982	bactris chaveziae
beb05fc5-b1f9-4aca-841c-ce332c3d0790	1984	bactris chaveziae
7a6b1dd1-7977-429c-b5e4-30d1e0f2aa58	1986	bactris chaveziae
a5de6a82-cce0-4847-bbaf-5f4c6fd5781a	1988	bactris chaveziae
9cfc38cc-e839-49fe-9766-f9c74f298020	1990	bactris chaveziae
f3c31aa4-e822-49fa-aa15-bb6c6d8f2f2f	1992	bactris chaveziae
67a695dd-529c-462d-bfa7-00a8e6d30b1b	1992	bactris chaveziae
7174de68-5cd5-468d-962d-2fa44dd4015e	1992	bactris chaveziae
e315927a-fc53-4e77-851a-26c81e4231ea	1992	bactris chaveziae
eba9e619-d4bb-490b-bcd0-8a03ef3a146c	1992	bactris chaveziae
48951e6c-fd2f-4230-aa93-a56e9c518984	1992	bactris chaveziae
815bb1ee-871a-4db0-87f2-82d666880b9e	1992	bactris chaveziae
149c5c07-8df0-4df3-9912-fe45c79fba75	1994	bactris chaveziae
3dced446-168c-46ad-b05a-9d6b16d3dc98	1994	bactris chaveziae
27143b7a-42f3-4311-a5d5-684adabf944c	1998	bactris chaveziae
e1c4bf74-4e9e-427d-a07e-7be46271ecd8	1998	bactris chaveziae
69a7ae56-8cea-416f-8867-a62251170651	1998	bactris chaveziae
e29df43f-249d-44e4-a2de-9dc52c26871a	1998	bactris chaveziae
90e2b146-b52d-4f41-938c-2bd854e0ba40	2004	bactris chaveziae
3f618e32-1c5e-4d8b-83e9-579e8cb4dfa9	2009	bactris chaveziae
7eb46ead-3093-419c-8ef8-830591392de2	2009	bactris chaveziae
289329d2-8c0b-42c6-a276-9fa0f87cad31	2009	bactris chaveziae
08f1e31c-8aef-413c-a833-ea1b23b62c47	2009	bactris chaveziae
4fa98442-859b-476f-88a2-7c77465c2ba7	2009	bactris chaveziae
59daa554-9bfa-464a-96e1-14931aa37326	2009	bactris chaveziae
766c60e7-83ac-49c2-b436-4a789dc2bdbe	1874	bactris fissifrons
b485e65f-7b4b-45b2-bb3c-133ac20b995f	1874	bactris fissifrons
95c2113f-2bc1-45ee-a17b-c1eb5e840dc4	1874	bactris fissifrons
9092275f-3e26-4cd8-b0ca-d9861bbb5b27	1874	bactris fissifrons
e2c82b44-2671-4424-a3fc-e1fd3b4cee5f	1874	bactris fissifrons
eeff9f5f-383b-4651-9134-10e9814a0f45	1874	bactris fissifrons
f1588436-10b7-46c3-9580-503a53ecb2d2	1874	bactris gariona
da6c402c-eab3-4faf-b3a0-4736994118ac		bactris maraja chaetospatha
029668ed-d0d3-4a85-95cb-664b93987562	1875	bactris maraja juruensis
5967bebd-f38f-45db-a522-7563ee68a494	1997	bactris maraja juruensis
3bf0c610-1ad9-4012-a053-5044193899c5	1997	bactris maraja juruensis
f8907823-e566-450f-8ea9-37283c8a25eb	1997	bactris maraja juruensis
2bdf2316-0e6a-4ea7-a28d-768761fc459a		bactris maraja juruensis
b024b29e-6e4a-4e3b-8fdf-8ef20607a697	1971	bactris pliniana
fa151ac8-ef4f-4da6-b13b-f329966ad843	1971	bactris pliniana
7755c441-3bb3-46e6-b70c-3072c368d91f	1971	bactris pliniana
36edb22a-3f54-45e2-9d1d-4f4a97fd0e5a	1984	bactris pliniana
b3594834-fd06-433f-a19f-aad7d27da0e5	1989	bactris pliniana
